20
(9, 13, 866088673)
(6, 7, 236963276)
(18, 15, 24821541)
(11, 8, 745221969)
(16, 16, 162813910)
(18, 10, 274841533)
(7, 12, 206655056)
(14, 11, 867539500)
(13, 5, 551713962)
(16, 5, 335954533)
(7, 7, 44426154)
(13, 15, 974575473)
(18, 17, 884406324)
(2, 2, 103762737)
(18, 3, 542748337)
(8, 10, 212819661)
(4, 3, 834867725)
(15, 19, 367927578)
(1, 12, 834626714)
(3, 14, 688855099)
(1, 7, 598511557)
(4, 0, 182322835)
(4, 7, 601971210)
(15, 15, 937560319)
(1, 10, 558375136)
(12, 12, 149761492)
(12, 6, 558870437)
(8, 15, 375324524)
(1, 8, 956733882)
(16, 0, 523497431)
(4, 17, 34154420)
(11, 1, 49450282)
(12, 6, 505483999)
(2, 0, 188886028)
(6, 17, 32661663)
(12, 13, 414949522)
(0, 14, 423795657)
(7, 0, 710658921)
(14, 12, 386057799)
(5, 17, 20095893)
(14, 14, 917554808)
(6, 17, 202419044)
(17, 18, 851310786)
(14, 14, 50570886)
(0, 1, 250190111)
(0, 12, 85080094)
(19, 14, 916569291)
(9, 13, 660301891)
(14, 11, 234855492)
(15, 7, 509415068)
(9, 8, 734674573)
(6, 16, 537442075)
(11, 16, 505468422)
(9, 15, 271634546)
(13, 1, 374159087)
(19, 11, 275644341)
(12, 18, 90311604)
(6, 14, 834671642)
(13, 12, 601877123)
(12, 13, 932288781)
(9, 6, 834269819)
(6, 10, 722887042)
(9, 14, 427124494)
(3, 11, 753540762)
(9, 9, 571148897)
(8, 2, 974865417)
(14, 0, 715238489)
(19, 3, 936578083)
(5, 18, 44168950)
(18, 3, 170925290)
(15, 8, 624813667)
(19, 18, 898109678)
(13, 8, 123132884)
(7, 13, 695555556)
(14, 8, 966332274)
(8, 0, 719780250)
(13, 8, 328529289)
(9, 4, 274209859)
(4, 11, 286494700)
(12, 6, 275410359)
(14, 9, 718565025)
(7, 19, 606015226)
(12, 11, 504708771)
(11, 9, 877437022)
(0, 3, 737429890)
(5, 4, 693823531)
(18, 2, 164853573)
(5, 4, 184777574)
(4, 13, 75344749)
(6, 0, 410591428)
(10, 12, 229560060)
(11, 0, 16253034)
(11, 6, 403402966)
(12, 8, 589385262)
(2, 19, 38457547)
(0, 5, 477523603)
(9, 19, 349246959)
(9, 2, 661670323)
(4, 13, 297200548)
(7, 8, 964534151)
(12, 17, 458965759)
(5, 1, 442980846)
(0, 10, 483129505)
(15, 9, 790217032)
(3, 4, 282495650)
(16, 11, 513834009)
(18, 3, 261735386)
(6, 9, 823128878)
(12, 19, 250687389)
(15, 7, 25415279)
(3, 2, 752043502)
(10, 17, 792658796)
(2, 14, 965065748)
(13, 8, 792020267)
(15, 2, 959462012)
(3, 4, 309390982)
(7, 18, 619276457)
(14, 17, 136140891)
(12, 18, 356785320)
(4, 19, 717863650)
(9, 12, 966266959)
(12, 18, 371884382)
(14, 11, 970630275)
(10, 7, 471288997)
(14, 5, 711382848)
(6, 6, 535557533)
(17, 19, 196727765)
(8, 17, 309414409)
(9, 13, 357990289)
(2, 6, 534726310)
(6, 0, 629019988)
(10, 0, 547098234)
(7, 12, 527367561)
(9, 11, 583669203)
(14, 2, 854356173)
(12, 9, 282188882)
(3, 5, 272388476)
(8, 13, 561920113)
(14, 14, 265686362)
(10, 16, 920272182)
(18, 3, 335689523)
(18, 17, 269315762)
(19, 1, 409151103)
(17, 5, 895199623)
(8, 11, 310797765)
(19, 2, 213406473)
(2, 19, 80554995)
(14, 19, 735304639)
(3, 11, 756856615)
(12, 1, 911558487)
(11, 15, 998650350)
(12, 11, 893102003)
(19, 16, 630886555)
(15, 10, 493945053)
(5, 4, 992547970)
(0, 14, 100260647)
(1, 13, 921980152)
(14, 18, 259373524)
(15, 19, 526556667)
(7, 13, 485921733)
(18, 19, 719179768)
(12, 8, 48003132)
(3, 18, 655471122)
(15, 4, 918723554)
(17, 12, 710627008)
(7, 0, 796436689)
(3, 11, 526775177)
(16, 7, 958553353)
(16, 1, 114350485)
(3, 12, 830576365)
(13, 0, 331636204)
(17, 2, 364415837)
(7, 13, 212927375)
(16, 16, 891932097)
(4, 5, 666156124)
(12, 18, 792076984)
(18, 11, 441208122)
(1, 9, 852496851)
(18, 1, 915828754)
(15, 8, 948299737)
(1, 4, 569784920)
(9, 19, 958571779)
(14, 6, 415499761)
(16, 17, 443460629)
(11, 17, 704509171)
(16, 13, 899926797)
(9, 3, 863284403)
(8, 7, 400116364)
(9, 9, 251609502)
(13, 12, 774729076)
(16, 13, 817834834)
(19, 5, 244758321)
(4, 0, 995480323)
(10, 18, 917001577)
(9, 10, 233066334)
(10, 17, 222757670)
(0, 0, 86945339)
(15, 5, 908571487)
(11, 19, 837690367)
(5, 5, 759712881)
(15, 14, 435469888)
(19, 6, 991079583)
(10, 1, 96653703)
(19, 14, 780289288)
(2, 7, 592189279)
(9, 1, 27896898)
(18, 1, 414903206)
(16, 0, 320315092)
(3, 1, 794091548)
(14, 19, 481583831)
(6, 5, 655633300)
(16, 16, 712952319)
(2, 2, 654409984)
(6, 18, 999160962)
(15, 16, 78673624)
(2, 0, 69184095)
(3, 8, 285824872)
(19, 16, 277313091)
(11, 1, 11579269)
(19, 13, 379302684)
(15, 8, 651687939)
(13, 10, 856583339)
(8, 15, 470455913)
(13, 4, 274278423)
(17, 17, 461745663)
(2, 11, 436190922)
(16, 0, 864365965)
(13, 7, 282832817)
(1, 16, 671012208)
(9, 14, 662778182)
(8, 8, 74288180)
(14, 16, 324551563)
(1, 2, 363382783)
(17, 14, 603452525)
(18, 13, 410887881)
(9, 8, 353682788)
(11, 9, 895764423)
(10, 18, 612186947)
(8, 18, 756362990)
(14, 12, 207096383)
(19, 9, 750132398)
(2, 4, 633519979)
(14, 13, 335687505)
(16, 5, 197325399)
(19, 3, 768933615)
(18, 12, 81521617)
(18, 16, 400676892)
(6, 6, 295264992)
(8, 8, 915855042)
(6, 13, 990527419)
(19, 4, 854444252)
(11, 1, 27981879)
(10, 8, 66226020)
(10, 13, 890078198)
(11, 16, 227152346)
(16, 5, 746212690)
(3, 16, 598949000)
(0, 5, 511486444)
(1, 13, 169254031)
(7, 11, 53981157)
(8, 10, 384619793)
(13, 19, 784852194)
(9, 3, 221371610)
(11, 1, 929829876)
(13, 7, 727702514)
(19, 6, 364735401)
(0, 10, 730613396)
(3, 11, 167958255)
(2, 14, 708244984)
(9, 11, 893616148)
(7, 9, 740515453)
(1, 12, 966373936)
(13, 1, 487149720)
(5, 7, 247802351)
(15, 6, 115287841)
(8, 18, 508477957)
(0, 5, 913058252)
(5, 13, 844160121)
(13, 16, 978136015)
(19, 3, 734775259)
(16, 9, 43769582)
(11, 11, 844116683)
(2, 12, 368358739)
(0, 6, 335044535)
(1, 7, 569538568)
(13, 15, 730123114)
(10, 18, 325925799)
(17, 15, 243098080)
(8, 0, 23138342)
(14, 19, 16349571)
(4, 8, 919751173)
(18, 11, 334311145)
(14, 0, 677785532)
(18, 16, 482200595)
(16, 7, 239365369)
(13, 10, 200269251)
(7, 7, 364662395)
(14, 5, 492530934)
(7, 5, 539164088)
(13, 10, 701729592)
(8, 1, 925367237)
(8, 10, 788558867)
(10, 6, 557447053)
(10, 2, 207109418)
(4, 8, 355937248)
(5, 1, 775846591)
(12, 6, 716957937)
(18, 11, 59912336)
(14, 13, 707923444)
(13, 16, 183621551)
(7, 16, 243406860)
(1, 19, 508646483)
(3, 14, 476094751)
(13, 4, 345260854)
(16, 13, 573960372)
(13, 4, 421131722)
(0, 7, 253993865)
(2, 7, 162294166)
(19, 3, 558510544)
(0, 5, 379907118)
(4, 8, 631275996)
(8, 13, 154593663)
(5, 11, 797890674)
(5, 6, 330702947)
(1, 11, 587537415)
(6, 12, 786076880)
(9, 8, 564483834)
(16, 16, 855921268)
(19, 2, 824702449)
(6, 6, 867740680)
(11, 16, 424604203)
(15, 9, 301901186)
(17, 11, 847863451)
(11, 15, 190811260)
(4, 2, 300147333)
(2, 17, 699575551)
(12, 16, 563204320)
(5, 14, 357651446)
(13, 8, 77346786)
(15, 8, 68163233)
(18, 18, 109893497)
(2, 19, 530155111)
(3, 7, 571894223)
(9, 14, 18243665)
(18, 14, 457335266)
(6, 19, 528656374)
(16, 18, 502274486)
(1, 16, 345712331)
(15, 16, 15310593)
(0, 15, 88427016)
(11, 15, 91244510)
(13, 18, 936224877)
(6, 19, 690741171)
(7, 19, 343946652)
(3, 14, 772852318)
(3, 2, 692506513)
(1, 10, 202970688)
(8, 12, 730821706)
(19, 2, 569211641)
(6, 1, 458709896)
(5, 17, 907204943)
(11, 9, 266946965)
(10, 16, 941014067)
(19, 1, 571718747)
(0, 11, 983732592)
(18, 13, 301394812)
(16, 15, 129715685)
(18, 0, 939013278)
(1, 12, 24408702)
(9, 2, 783689027)
(4, 1, 732389083)
(10, 8, 93656817)
(10, 8, 681012078)
(6, 3, 641258638)
(15, 6, 604676118)
(6, 9, 135683100)
(6, 11, 841377456)
(18, 9, 774405344)
(19, 8, 673604501)
(5, 2, 856063036)
(19, 18, 677087272)
(6, 13, 557208611)
(13, 10, 564415667)
(12, 15, 761776492)
(19, 3, 130624304)
(17, 14, 584860522)
(5, 4, 845318329)
(11, 19, 911518414)
(0, 6, 19290844)
(17, 13, 935470367)
(6, 13, 176763039)
(19, 16, 886940622)
(6, 18, 724878552)
(3, 8, 144086590)
(17, 18, 554140582)
(13, 6, 413240716)
(11, 9, 597087063)
(11, 15, 177407669)
(16, 17, 77325461)
(5, 3, 401946520)
u 2 0 232953919
